Roza2019_VCF_ID,yi_may,yi_jun,yi_jul,yi_aug,yi_sep,yi_hrv,yi_2020,yi_2021,yi_2022,yi_2023,yi_year,PC1,PC2,PC3
264_S170_R1_001,0.715058477412422,0.598292537323504,0.60206171267946,0.595695675844357,0.419995693128387,0.588297900833984,0.627631459404294,0.484036613789058,0.655664760798831,0.602090701462406,0.59296911405377,-70.019836606801,33.7064477188157,18.0628749080947
265_S182_R1_001,0.811569010399779,0.645184495538653,0.69132642128094,0.611472142647368,0.460098860721008,0.644829769512789,0.696608210664013,0.519099778472234,0.722290249142581,0.659808727244661,0.65143440936788,24.6047750331684,32.5314658970768,-29.0473212536235
266_S194_R1_001,0.790032578402442,0.578883097470968,0.575414174702832,0.568437905348056,0.448413264687825,0.589237679964345,0.636846605462292,0.490853412086343,0.643605766841544,0.598338771062217,0.600476507450371,17.2967766801467,9.18891268524287,50.0901337160877
267_S206_R1_001,0.871281174692297,0.652321439627816,0.606188063141768,0.570154634028307,0.454325550513721,0.627304262378312,0.658590426065077,0.523782601261628,0.721484420586986,0.623418475957038,0.639941912833252,18.5508616049111,0.00147150499292423,19.6551058942371
268_S218_R1_001,0.900607592922396,0.614198642502998,0.625484174259218,0.560715639422305,0.454755298921311,0.625982361126067,0.6395978768863,0.548925143849316,0.679548621999713,0.651718227148067,0.634465771599558,0.553224635324331,12.6607549827649,21.4069186374503
269_S136_R1_001,0.848265945827266,0.662115700975746,0.637629146258871,0.603823898746127,0.452497580540157,0.639809197945847,0.682532908966762,0.53614421555238,0.713752936745951,0.642042048361433,0.648806939908436,5.62826599182634,0.663818766437824,57.6587423258141
271_S148_R1_001,0.945934099444671,0.831563840038544,0.808294223841326,0.747303025726053,0.694883716648351,0.803949878150153,0.905154070935392,0.699433602047137,0.780039935912853,0.831999924534673,0.813931690850917,-50.751425131593,28.398860710658,20.7422466677186
272_S160_R1_001,0.781365860390675,0.630377882000419,0.644746253112055,0.517648402823593,0.422660631843769,0.5990649793582,0.655162499231295,0.473517607528169,0.667957215553786,0.616985058108784,0.606336812567971,23.6662403264135,46.9898861617686,-24.0056274410986
273_S171_R1_001,0.77984890272175,0.61178802577412,0.609268085099306,0.56082545381774,0.433126993950269,0.598136330487817,0.640941496725509,0.505965525856466,0.65450988947318,0.603469819494529,0.608012097063737,17.4128611123586,-2.91404394581174,4.58926776267613
274_S183_R1_001,0.953553213696382,0.801804058526322,0.746052370815569,0.728833555560186,0.6024000944124,0.765256659107481,0.785795808810212,0.651593557053762,0.895574932573027,0.751343326080671,0.773140931758125,20.424301200736,41.9928488129944,-11.1985976769282
