all,may_20_1stage,jun_20_1stage,jul_20_1stage,aug_20_1stage,sep_20_1stage,may_21_1stage,jun_21_1stage,jul_21_1stage,aug_21_1stage,sep_21_1stage,MET_may,MET_jun,MET_jul,MET_aug,MET_sep,MET_20,MET_21,MET_all,FA1_all,FA1_PH,PH_19_1stage,PH_20_1stage,CT_20_1stage,PC1,PC2,PC3
SM:225_S178_R1_001,85.892,67.053,43.286,33.85,10.958,45.199,13.653,17.092,26.44,7.515,58.6787573544,39.8449288122,34.0154704573,32.1843922877,9.3946772639,47.015555387,22.2797496046,34.3334608941,-0.3324303887,0.6432884265,80.811,43.731,24.861,-4.317449,-8.272887,6.945821
SM:226_S190_R1_001,56.587,64.036,46.975,30.238,6.513,33.16,9.452,22.22,27.921,8.415,48.2098954919,37.4119842186,36.5902473993,31.6191304703,8.2269646467,41.2050791504,20.8377293634,30.6116311263,-0.6444714911,0.6460033239,80.2,44.513,24.586,-5.780314,-9.270984,-0.82619315
SM:227_S202_R1_001,57.105,66.035,41.437,38.665,10.19,46.132,14.664,30.397,26.688,14.69,53.463404961,39.936557933,38.3546740564,33.4755691276,9.8501295755,44.1316054868,26.019183297,35.5546341971,0.0059617771,0.8986887675,81.305,46.265,24.791,-6.5060463,-6.005715,-1.6587297
SM:229_S214_R1_001,90.02,87.148,67.371,51.537,30.034,38.924,8.692,16.341,46.617,6.796,57.0187282333,42.0749567497,38.659435111,41.5803645194,13.5614547598,64.0342838931,22.8252577191,42.1749287878,1.3306458435,-1.2001886578,65.565,39.614,24.229,0.324618,-1.5298212,-3.2002287
SM:22_S12_R1_001,57.406,68.447,37.23,35.387,8.044,41.547,10.68,20.498,20.966,13.195,51.684833058,39.1210022913,33.9122286662,31.2383780586,9.1047045379,42.4229826529,21.9177684931,31.9892511918,-0.4887017668,0.9757535723,85.96,41.445,24.026,3.8036654,1.6671584,-1.381212
SM:230_S503_R1_001,92.907,101.647,62.638,50.459,15.592,55.427,21.151,27.609,35.534,6.851,64.1587813579,52.648034795,41.9399254206,38.6447516774,10.6420994864,60.9339797565,28.5869242275,45.588539376,1.301171012,0.3140480503,77.213,44.041,24.343,2.3659477,0.48060864,-2.323717
SM:231_S144_R1_001,79.412,46.627,42.601,52.058,12.626,38.716,13.816,27.778,17.484,4.636,54.8866664362,34.0606099821,37.6488997894,34.7260100752,9.5927050898,46.815133225,21.4907486331,33.8398493593,-0.2272832459,-1.1266972984,67.549,38.097,24.897,3.6029134,-0.21276268,-2.6642907
SM:232_S156_R1_001,61.573,63.378,55.065,37.946,12.154,41.931,9.166,20.9,38.771,11.415,52.6652324748,37.0356679129,37.7612514181,36.2453566581,10.1159644242,46.6337025816,23.8140520919,35.1252537682,0.1022469591,-2.0738843059,63.764,31.122,24.046,1.59855,-1.9162601,-2.9653451
SM:233_S167_R1_001,97.723,90.743,77.766,54.617,14.328,25.846,15.014,41.193,32.153,7.819,55.4521768418,47.1478158862,49.6213884244,38.817711344,10.3929561793,61.5632233175,25.0616032326,43.9547493395,1.473283128,-0.8521100791,72.104,35.922,24.853,0.99746877,-1.3370963,-1.3232538
SM:234_S179_R1_001,63.767,65.928,47.793,48.466,11.796,36.641,13.933,21.953,26.767,6.376,51.0229883713,39.6254992545,36.6977735934,35.9632338433,9.5124330955,48.0132242622,21.7247560134,34.5332566556,-0.1227769583,1.9792199433,89.858,49.247,24.729,-5.89967,-5.351689,-1.9116358
SM:235_S191_R1_001,78.315,58.948,57.099,46.174,11.02,53.876,13.104,28.419,30.573,9.865,60.6562259635,37.3336482037,40.85546669,36.3208089963,9.6370086385,48.7398959631,26.3008992786,37.9186020542,0.0989702761,0.3047888103,80.03,40.521,23.983,-0.9380363,-1.5797493,-2.5851073
SM:236_S203_R1_001,54.889,42.573,43.085,23.424,6.494,35.441,10.145,21.354,19.939,8.057,48.8051690268,31.5265064341,35.4964150771,27.9709924366,8.194367204,35.833189699,20.0723588243,27.4661542994,-1.0275645114,-0.6475226416,74.095,36.018,25.126,1.5007218,4.302838,-1.7604582
SM:238_S215_R1_001,32.071,28.795,36.34,31.795,12.421,27.011,12.085,19.178,19.695,4.212,40.93054908,28.2575075612,33.2917820902,30.0108841592,9.4898361178,34.6291022414,18.1386843712,25.570170659,-1.1429756163,-0.3660688558,73.805,39.841,24.538,3.7584352,5.4079947,-3.6604774
SM:239_S133_R1_001,50.104,44.958,42.865,34.045,3.786,19.026,1.852,9.415,8.845,9.939,41.2715110484,28.9681607566,31.1266475,27.9451032711,7.5916740316,36.1893776744,12.8120356257,22.8485481327,-1.6469843807,-1.3014006802,69.419,33.692,25.753,2.1922827,4.9616327,-0.97696346
SM:240_S145_R1_001,36.677,38.467,29.786,19.982,11.144,32.438,10.997,16.746,18.26,5.887,44.0420995221,30.6912849447,31.0966208544,26.692652901,9.2928441482,33.3260598637,18.4347846409,25.1039111487,-1.4289436648,-1.7920529562,60.832,38.103,24.72,2.873959,5.3215075,-1.4367237
SM:241_S157_R1_001,68.531,46.848,43.659,51.111,10.661,33.698,13.732,26.28,25.291,6.182,50.7505503999,34.1375026861,37.3569356373,36.2824532372,9.1824013592,44.7538747467,21.7195240531,33.0026407026,-0.4211099605,-1.6962789151,61.284,38.67,24.331,2.4888804,5.2050123,-1.4374282
SM:242_S168_R1_001,58.577,58.972,39.345,36.197,12.057,43.8,12.855,21.568,17.17,4.884,52.8302220085,37.2262984634,34.773432703,30.5283442554,9.4509992954,43.3336497307,21.0111327998,31.7445609824,-0.1802748573,0.1904470059,76.606,43.263,24.293,3.3049157,1.3638757,-3.1156874
SM:243_S180_R1_001,62.291,53.368,50.007,34.759,7.497,48.45,14.477,30.497,23.614,5.893,55.3896089229,36.253822975,40.1425830686,31.7542766315,8.2689757371,41.6511962775,24.5496650786,33.3455922636,-0.304804941,-0.4449492261,71.502,41.654,23.84,0.5371839,-3.4884174,0.9868797
SM:244_S192_R1_001,90.241,83.817,65.796,36.016,14.678,33.923,13.958,38.266,26.187,8.153,56.3575698428,44.7911778427,46.2237034311,32.6630959889,10.5191592566,55.1989104331,24.6617459436,39.9763201979,1.1068224997,-0.7778194878,71.018,38.195,23.48,0.6760331,-0.7262106,1.2915206
SM:245_S204_R1_001,63.159,50.455,39.192,35.526,10.329,43.198,12.811,25.265,24.681,6.32,53.4826395775,34.8130626648,36.0985776702,32.1981277123,9.1036710861,41.4471889221,22.7599965723,32.0235939998,-0.5932070309,-0.1818278622,76.907,38.322,23.604,0.26193792,-3.9079843,-1.7743189
SM:248_S134_R1_001,72.079,73.929,49.866,38.672,8.936,41.861,13.984,26.038,33.808,8.305,54.6907483682,41.942919165,38.5354958207,35.1939203315,8.9006750427,47.4083542477,24.4244041261,36.0403563418,0.0760869832,-0.4043325169,77.648,34.682,24.007,3.9965498,4.550505,-0.57713574
SM:249_S146_R1_001,66.179,51.533,51.754,44.843,9.91,46.976,17.207,30.894,38.348,8.622,55.5866740443,36.7553044565,40.6704274941,37.8911716197,9.2028895709,44.84382464,27.2896618792,36.7410837524,0.1586056622,0.0020666274,77.027,40.435,24.077,-4.223878,7.380762,0.72850525
SM:24_S21_R1_001,103.655,58.385,55.334,31.818,13.298,34.185,12.26,25.211,34.78,7.124,59.4057528068,37.0541170555,38.9781060543,34.3911966056,9.8340756044,51.0158844896,23.0407096046,36.4880115243,0.0626634292,-1.601413315,68.752,30.866,23.382,-13.667951,9.405197,1.2053733
SM:250_S158_R1_001,63.13,63.395,61.226,38.696,6.253,51.183,11.813,29.581,33.412,7.694,56.6659915407,38.0897286967,42.1441879452,35.1069242904,8.0747060116,44.8166094176,25.8694128432,35.7565869561,0.0531342511,-0.2077837563,75.634,39.556,23.186,2.003292,0.26364943,-0.97155076
SM:251_S169_R1_001,64.641,81.41,45.883,46.406,11.821,41.436,13.464,24.648,30.403,5.662,53.0674304672,43.868015477,37.2188286963,36.3544092471,9.4587540597,50.1053284108,23.1495758008,36.502909883,0.0050522782,0.8026682907,81.368,44.986,23.883,3.2726378,0.400327,-3.0879529
SM:252_S181_R1_001,91.219,83.356,58.214,59.476,11.563,53.464,14.956,36.224,31.803,9.28,63.0995475642,45.0350694756,43.9235763308,40.0697197925,9.739537829,56.8171790471,27.9783305433,43.0393587057,1.1221210562,0.3244759162,83.391,36.621,23.728,-7.5615826,6.0078917,0.65336883
SM:253_S193_R1_001,41.462,48.239,41.976,37.004,5.858,20.247,9.115,13.489,19.092,5.025,40.0877592373,32.6959183633,32.4006142372,31.1704894845,7.7027127487,37.2609484297,15.6260783065,25.2690529519,-1.3254336737,-0.4106902928,73.266,39.941,24.651,2.9451237,3.864285,0.15571211
SM:255_S205_R1_001,44.293,39.311,26.905,25.669,4.325,19.713,9.111,13.372,17.914,5.663,40.4912124893,30.2188583698,29.4049895966,28.1069204657,7.3692321211,31.5841861105,15.5312423882,22.4458893191,-1.4805949016,-2.254155942,57.314,36.662,23.449,1.5127999,0.67357373,-0.5317477
SM:257_S217_R1_001,77.385,73.658,45.92,38.979,15.298,41.591,12.052,33.486,25.008,7.754,55.6109383983,41.1079902836,40.3779475969,33.1426186437,10.645302792,50.5449620772,24.0074946651,37.1948698489,0.3492533826,0.5678247202,80.945,42.617,23.115,-5.2054768,3.9451096,0.98840916
SM:258_S103_R1_001,58.268,59.931,63.062,53.895,6.544,50.18,14.683,34.878,35.608,11.015,55.3156722523,38.2100540549,44.3907648276,39.5146556039,8.4792871899,46.7335928867,27.9714259992,38.2105563444,0.4252929083,-0.0079155321,72.149,46.263,23.298,1.4060568,-1.9259497,-2.7055645
SM:25_S25_R1_001,38.849,50.073,32.37,31.423,7.821,23.572,7.907,15.149,15.321,4.832,40.8399019149,32.7184445709,30.973800465,28.7917532259,8.2353733282,36.0859711685,15.6182969437,24.6836936895,-1.2328948246,0.8559596645,85.179,40.963,23.797,-13.227863,7.4232655,2.292862
SM:263_S159_R1_001,47.446,48.939,38.492,32.737,9.916,22.315,7.682,18.434,22.714,7.971,42.2487025107,32.4903776631,33.5885750238,31.0577725803,9.1470486974,38.8517605633,17.5017690505,27.1861894502,-1.0011046853,-0.7785032131,74.05,34.428,25.314,4.2572875,-0.80625546,0.45814368
SM:265_S182_R1_001,73.136,76.467,76.314,47.556,9.47,50.444,15.408,38.063,29.518,7.955,58.3191543231,43.2128390408,48.2693538679,36.4343355763,9.0150018458,52.9425655021,27.3983224575,40.704746983,0.715997476,-0.3273278204,73.083,41.196,24.453,3.0606043,2.3183327,-2.9097655
SM:266_S194_R1_001,73.486,55.114,42.343,47.556,13.886,47.418,12.82,32.803,31.382,7.679,57.1511196557,36.1382789957,39.4313162302,36.8645860033,10.2314827687,47.4525383796,25.7528143878,36.9504329916,0.1347388322,-0.2313972519,75.772,39.09,24.322,2.413591,0.87417734,-3.8083973
SM:267_S206_R1_001,71.999,79.177,45.796,39.476,9.89,57.96,14.531,33.56,42.427,6.826,61.0902669756,43.6399867417,40.3784676757,37.4462168359,9.0277398074,48.3512067084,29.120782291,39.6595884248,0.3118708494,0.0248604666,79.484,37.72,24.345,2.8506544,-1.4593244,0.17862883
SM:268_S218_R1_001,83.464,53.574,47.223,39.715,7.296,63.956,14.181,43.5,42.326,12.545,65.6053439427,36.2201470302,44.1793541311,37.440793981,8.8359267591,44.2607153939,32.5076480448,39.9966853514,0.489745521,-0.3774689333,75.297,37.861,23.725,1.3458152,2.1894555,-3.0683713
SM:269_S136_R1_001,82.417,80.536,63.359,54.308,8.225,58.879,20.976,32.332,41.341,10.648,63.3767526152,46.4186700643,43.5001894679,40.9074558863,8.9233084909,53.5028150658,30.7233033533,43.3279567712,0.8672995947,1.035781794,83.117,45.795,24.055,0.9957828,-0.78562295,-4.9624004
SM:26_S29_R1_001,43.67,48.116,28.434,28.962,6.291,30.888,7.144,18.56,21.636,5.395,44.8477969018,31.9790324476,31.5589744889,29.8282866585,7.8987656704,34.7010602508,18.140357176,25.6968367342,-1.3143304417,-0.2604676902,78.226,35.767,24.319,-8.508855,4.4262238,1.357295
SM:271_S148_R1_001,104.574,223.938,123.155,67.67,31.995,72.116,27.761,54.341,58.595,NA,72.9670647794,82.0127066843,57.0964179433,48.3638786146,15.7871862832,94.9247471947,40.4812220045,69.3896044828,4.027503374,0.1502313491,81.712,36.563,24.47,-5.6542354,4.482997,-2.5896814
SM:272_S160_R1_001,52.325,61.608,74.826,39.795,8.578,44.613,16.898,28.853,22.328,5.49,51.9407383823,39.529478102,44.6379493546,32.7107732873,8.5353300119,46.400251999,23.9156505818,35.1676202222,0.0796186964,0.0370787851,78.871,38.632,23.628,3.7153223,4.300383,-2.327549
SM:273_S171_R1_001,67.085,74.518,61.032,35.015,8.63,46.13,15.373,29.001,46.135,7.512,55.3892969608,42.6064927637,41.8519273416,37.1209869438,8.7443054545,47.5525922474,27.28573036,37.9659146006,0.1523724247,-0.1830665449,73.924,41.917,24.246,2.1676948,-0.40860552,-0.24823174
SM:274_S183_R1_001,67.676,90.267,59.633,71.883,21.212,70.906,23.694,41.664,31.787,14.453,65.3961373651,49.6998494015,46.0951805668,43.4399655992,12.9328320279,62.4727967467,34.1607913291,49.9580419725,2.2436462016,0.953784753,77.78,51.276,24.849,2.843048,4.771524,-4.004442
SM:275_S195_R1_001,95.381,173.392,90.694,43.806,7.186,59.73,22.002,45.27,52.587,15.088,66.275441689,67.4944723656,53.6992618577,41.4074115205,9.3645145574,69.7656022831,35.4445569034,54.3245948963,2.9519704981,0.6567063536,82.604,41.72,24.76,-1.4623182,-4.7066846,-1.4563838
SM:27_S491_R1_001,54.196,52.746,37.29,30.964,11.092,30.928,15.373,20.367,21.428,9.405,46.855482023,36.4423960235,33.9488396031,30.2474543823,9.6118767335,40.2495494102,20.6360847999,29.999590353,-0.7629554486,0.6700503487,85.492,38.378,24.092,-10.201941,-1.4178253,0.15957892
SM:280_S207_R1_001,68.035,68.591,54.643,41.363,8.378,41.93,11.107,23.317,26.989,9.69,53.930928301,39.3157867323,38.5390532569,34.2327172116,8.8677418345,46.8706420329,22.754350073,34.6587820244,-0.1790408032,0.4975306151,78.298,44.965,24.803,3.6522427,0.6504,-0.85324603
SM:282_S219_R1_001,60.098,79.422,56.158,54.542,9.403,44.659,16.116,26.971,31.826,7.425,53.4730804394,44.327680419,40.1584592364,38.7748999159,8.9452309017,50.7952083528,25.0177455151,38.1681999836,0.29971362,0.240892755,76.503,44.009,24.782,4.9492755,2.212409,-0.107004836
SM:284_S137_R1_001,63.474,70.062,28.243,40.678,8.131,37.44,15.898,34.757,32.848,3.58,51.2469776818,41.587197458,37.1944285023,35.4940468121,8.2063943987,43.1884240484,24.6871975834,34.3316818571,-0.0531612917,0.6791526475,81.066,43.827,24.305,3.09879,5.147811,-2.5578485
SM:285_S149_R1_001,65.429,74.089,50.741,45.598,9.866,43.032,16.46,25.306,28.083,10.704,53.8530011981,42.9131727596,38.4619113738,35.5642214381,9.3933813417,48.4777951272,24.5989604106,36.7239884873,0.2084985584,0.5990767625,79.559,44.713,24.943,3.3234167,3.1030607,-0.77850133
SM:286_S161_R1_001,64.181,66.311,71.312,42.737,17.539,25.393,12.784,26.085,17.223,6.151,46.5956938374,39.2954730343,42.9554429401,32.2295502197,11.1187200261,52.799375394,19.173091344,34.9288678397,0.184717134,0.3084422693,74.814,46.913,24.757,4.995799,4.1135907,-2.9236383
SM:287_S172_R1_001,58.028,63.618,37.927,40.734,11.229,35.338,10.865,26.714,26.545,9.225,49.345000347,37.7941853729,36.3163275793,33.96551356,9.6345879309,44.2468302528,22.141324204,32.998550993,-0.3074635738,1.571140129,83.27,52.124,24.922,-0.07330849,2.7385073,-2.8466396
SM:288_S184_R1_001,65.442,63.905,46.88,29.47,7.291,43.912,8.255,17.543,22.646,5.584,54.2139359824,36.8638328301,34.8732540901,30.1250351978,8.166823075,42.2917353185,20.3055378623,30.7431234573,-0.6975228159,0.7270938289,81.972,43.324,25.271,3.921494,3.0786643,-3.209109
SM:291_S196_R1_001,54.111,46.594,50.18,29.176,7.365,25.41,8.412,17.232,24.788,3.964,44.6648834257,32.0332191458,35.4853924463,30.5998598519,8.0486213614,38.6925919433,17.5087853383,27.0971989104,-1.2737866438,-0.3630186091,74.489,39.027,24.919,4.048014,-4.0054493,1.5287375
SM:295_S208_R1_001,92.452,79.926,82.732,50.442,15.75,34.927,12.762,24.656,34.439,10.767,55.8447827593,43.1382489415,44.7130445793,38.3232199407,11.0440702082,59.7549267643,23.3900750616,41.1136179287,0.7413863268,0.8286406744,84.656,41.363,25.141,2.7872221,-2.6742435,1.2952216
SM:296_S220_R1_001,68.179,51.525,60.93,32.729,7.37,16.248,5.462,21.81,21.088,3.745,43.781671935,32.3257547355,39.3402360489,30.6520111739,8.0390854249,42.9001427301,15.7951884897,27.9830111791,-0.834481007,-0.978115297,69.164,37.93,25.169,6.346904,-2.7485557,1.7325722
SM:297_S138_R1_001,55.579,64.633,50.056,43.689,14.794,56.598,22.64,31.886,34.96,15.998,57.3707182435,42.5918949496,40.6755515547,36.7566048747,11.2936200107,47.8896840798,30.6985377009,40.460331821,0.6235038634,-0.8828715578,74.387,32.771,24.014,3.4335763,-4.1198564,-0.32919216
SM:298_S150_R1_001,79.013,67.846,58.048,34.762,9.277,42.909,10.256,28.593,30.708,9.769,56.4715542471,38.7657567084,41.1404619104,33.4380577064,9.133150043,47.5980501567,24.1263691291,35.8533147499,0.0983416601,0.6645977123,80.192,44.712,24.214,0.025402533,-6.134336,2.930071
SM:299_S162_R1_001,54.843,56.096,47.085,28.07,12.362,29.637,11.334,22.697,24.503,4.349,46.4395043533,35.8255009031,36.7680948828,30.2286827467,9.491308333,42.1714967371,19.6333609298,30.1609466204,-0.7018052953,0.9286391843,86.527,40.231,24.767,5.355061,-2.234411,0.94560975
SM:29_S3_R1_001,38.893,51.758,44.739,29.316,10.474,25.806,6.173,17.204,28.587,0.825,41.7783582987,32.5767620869,34.3102464394,31.530859051,8.6130098588,38.8163935954,17.0892736635,26.8460201616,-0.8856698495,0.4086432789,84.304,36.543,23.831,-10.268333,9.455352,1.6675961
SM:300_S173_R1_001,64.716,46.749,53.393,40.406,7.65,52.933,19.396,21.645,26.246,7.752,57.6638497602,36.2450577962,37.6922118127,33.8105445483,8.482364712,42.2493497249,25.3299240155,34.1721764761,-0.1458844551,1.1414330504,84.825,44.966,24.687,4.438539,1.31217,1.0693084
SM:302_S185_R1_001,63.517,70.792,57.332,46.379,9.777,47.897,12.732,27.34,31.857,7.835,55.4143452973,40.5640588404,40.5385242858,36.6958390417,9.0910687296,48.6430628488,24.9845866113,37.0201349125,0.0604101268,1.2071208405,83.76,47.035,23.558,4.4434166,-0.57882506,-1.6250757
SM:303_S197_R1_001,58.704,69.446,58.044,27.162,10.037,38.145,17.501,28.676,24.756,8.47,50.5902671251,42.0014197983,41.1664787461,30.0380228642,9.2241396802,44.8238376846,23.8094260015,34.2926880618,-0.1567140105,0.2285462171,78.282,41.686,23.928,2.5784948,0.59784085,-5.10216
SM:304_S209_R1_001,76.24,54.297,61.844,41.387,12.334,50.091,15.001,25.214,28.642,7.088,58.7680319831,36.7155796782,40.6954802344,34.6379879113,9.742955183,48.1439698134,24.8583304054,36.5805068792,-0.0450445791,0.4041508341,79.167,42.777,24.085,-4.823814,5.303668,-0.7546984
SM:305_S221_R1_001,75.089,82.901,44.926,49.346,12.3,49.845,16.328,30.522,31.769,14.219,58.475974826,45.4146621732,39.129727673,37.446222846,10.417997739,52.0532040756,27.533307013,40.4272341158,0.568064252,1.2881220515,84.839,46.717,24.144,4.313212,5.356937,-2.4240873
SM:306_S139_R1_001,72.005,68.043,47.312,35.521,9.672,33.777,9.759,24.996,38.085,10.996,51.4568019229,38.6654494483,37.6393754605,35.4066340351,9.3607212671,45.9210117792,23.2029311611,34.4486361903,-0.0733585476,-0.1868295634,72.889,43.154,25.168,2.9139788,3.2811463,-0.6042516
SM:307_S151_R1_001,65.818,69.87,43.188,34.538,4.68,46.805,10.402,20.258,23.716,6.85,55.4512242728,39.4139116077,35.0634080588,31.6682410102,7.5355240887,42.4821243573,21.9525258406,32.0613151023,-0.4963666024,0.2791560784,77.14,43.702,24.2,4.1040535,1.7164309,-0.15149121
SM:308_S163_R1_001,69.219,61.736,39.705,40.711,8.71,46.095,15.39,27.684,24.98,13.193,55.8325241706,38.9925567271,37.0177705735,33.5694324065,9.3093545312,44.0770277213,25.2578792011,35.0614621202,-0.1644456558,0.7555299379,80.019,46.026,23.601,2.5336187,2.9290357,-0.84619147
SM:309_S174_R1_001,63.411,60.046,59.622,40.363,9.371,52.32,14.236,30.283,27.343,13.171,57.1686592991,38.069526387,42.0580832102,34.0608890801,9.493560711,45.8976256434,26.7153037802,36.8311733111,0.0851401981,0.35006151,77.671,43.933,24.174,2.7883728,4.101937,-1.8680971
SM:312_S198_R1_001,72.406,55.469,49.882,32.144,5.792,35.664,17.912,24.094,19.881,6.701,52.3019090988,38.1878507791,37.865377076,30.2003437638,7.8732804953,41.7702029026,21.8487710769,31.6115733538,-0.4544004862,-0.3771204169,73.754,39.746,24.066,2.6530974,-0.6029206,5.6604013
SM:314_S210_R1_001,56.379,56.91,51.413,30.268,4.1,35.488,9.967,21.735,21.355,3.153,49.1225228553,35.5501031987,37.3288302597,30.0675675935,7.0594219423,39.3844555109,19.50415316,28.8611483852,-0.8990732284,0.8370855858,83.54,42.834,24.055,-7.292193,5.588645,-1.1434406
SM:315_S222_R1_001,57.027,57.285,38.352,30.224,12.334,28.878,1.572,32.923,30.658,11.601,46.6782225012,32.5899039072,38.6389710051,32.3094231541,10.1458139811,41.9217014866,21.3531467296,31.2083622397,-0.4448809512,-1.539817745,70.349,29.507,25.168,3.9230056,1.2241825,-3.380895
SM:316_S140_R1_001,92.145,55.456,47.313,36.357,11.198,47.33,14.025,33.029,37.643,9.892,60.7632592085,36.6726211868,40.5016241558,35.5132527467,9.6884699697,46.7824252522,27.1875048726,37.5261355354,0.2492885737,0.5602503842,79.021,44.876,24.071,3.0916495,0.69043815,0.52858233
SM:318_S152_R1_001,70.74,71.033,55.745,31.651,8.785,38.369,15.85,29.755,34.32,6.533,53.0329267779,41.8254633053,41.0692302111,33.5196098448,8.6857439202,46.2128192272,24.6519780031,35.5671268897,0.0221139159,-0.1535670984,74.252,41.904,25.265,3.8877153,0.9174326,-5.1608605
SM:319_S164_R1_001,77.846,73.058,61.752,36.404,6.559,34.203,13.434,30.668,33.345,8.565,52.7468450993,41.4664661097,42.6190485061,34.5035024853,8.2529683004,47.7336687758,23.9133299903,35.8493984826,0.1290056086,1.4400818426,84.03,49.593,24.541,-3.6935015,-7.2928357,-4.404171
SM:320_S175_R1_001,56.896,59.337,57.778,40.739,7.797,44.089,20.051,33.336,35.678,5.071,52.619358051,40.0786802704,42.7832335694,36.1718759142,8.268536956,44.1874504002,26.8730210602,36.1754504736,0.1394714165,1.4652297084,83.395,50.667,25.188,-4.664733,0.92140186,-3.9746158
SM:321_S187_R1_001,80.513,69.541,49.722,34.94,10.559,40.489,13.603,20.567,23.318,7.278,55.7555227593,40.5330375926,36.5595365541,31.7203439522,9.2603983391,47.6487712269,21.6929731292,34.2580297713,-0.1295169012,0.5894946597,81.34,42.43,24.249,0.7144097,-4.1288805,-3.7063253
SM:322_S199_R1_001,62.088,52.954,50.534,32.418,11.613,46.292,14.569,23.171,26.027,9.446,54.4961000954,36.194997559,37.6661219142,31.7537001715,9.7549416648,43.2168464279,23.895290652,33.5531814525,-0.2569734395,0.7106613849,80.134,45.407,23.843,4.494433,-2.879671,0.019484624
SM:324_S211_R1_001,76.337,50.359,45.396,42.119,8.281,41.54,12.243,19.301,20.629,8.099,55.370748145,34.5502177406,35.2120529679,32.8993492017,8.694746365,43.6696908528,21.1543399838,32.054963939,-0.3234354452,-0.3144266222,74.874,39.162,23.685,3.7383356,-0.56673574,-5.375677
SM:325_S223_R1_001,65.456,57.79,52.191,39.284,9.792,34.181,15.095,28.553,25.211,6.622,50.3326109836,37.7487214155,39.9126447783,33.273234407,8.9806679953,44.8485176004,22.4921045882,33.5022313046,-0.2388881298,0.6612351463,79.073,46.054,24.102,0.29144713,-2.851092,-3.6080709
SM:326_S224_R1_001,44.615,54.333,43.86,34.416,9.03,26.33,12.717,21.583,16.767,5.589,43.1274022621,35.847027121,35.6999178719,29.9790581592,8.6654479324,39.9057495343,18.3934662257,28.3732150617,-0.8524874378,-0.351670214,77.873,35.053,23.629,-7.7542167,4.8643074,2.5506296
SM:330_S259_R1_001,50.893,51.952,32.272,29.9,8.45,31.997,9.367,18.06,21.958,6.253,46.6060641128,33.8701788141,32.0475821981,30.0652802136,8.5606585828,37.6797685429,18.8063296963,27.5613738572,-1.0235738001,-1.5904562473,63.798,37.003,23.741,-3.5553956,-1.7053329,-0.7925154
SM:331_S128_R1_001,63.512,58.859,43.439,41.591,8.349,41.438,12.255,23.06,20.246,9.104,52.8467016894,36.9537275747,36.1278947001,32.6485214232,8.8015286542,43.4445707316,21.8722703856,32.466353461,-0.2361393586,-0.0969791206,75.041,41.647,24.24,0.22877502,2.8415515,-1.4593959
SM:333_S294_R1_001,60.459,70.307,48.898,48.834,14.204,57.099,11.676,20.663,32.31,7.825,58.5288757799,39.5201789409,36.3983210048,37.3591855243,10.3493998361,49.7763380669,25.0220679666,37.5306196829,0.2816419804,-0.1918387234,73.812,41.978,24.032,1.7272501,-2.5194404,-3.138486
SM:334_S306_R1_001,61.311,76.582,68.087,51.846,18.91,56.638,25.004,42.385,40.924,6.548,58.4386956312,46.9578911017,48.0104523772,40.262437826,11.5219084412,55.9993623068,32.1491275759,45.3080573611,1.3122436442,0.7360323447,83.077,42.115,24.544,5.381428,1.1850823,-1.3947235
SM:335_S225_R1_001,53.519,44.184,31.68,36.903,10.287,33.086,10.791,24.948,20.486,12.099,47.5799001146,32.2122660535,34.4132174324,31.5269168569,9.6417959463,38.6915797589,21.1619489146,29.6597592563,-0.7269545864,0.3426538079,77.665,43.848,25.408,4.696942,3.1090662,-2.7503865
SM:337_S237_R1_001,79.341,56.925,52.058,46.365,11.244,62.978,18.642,26.44,36.56,12.355,64.4497414787,38.8777961618,39.1289096908,37.8066067085,9.9350518639,48.0193511551,29.6064099202,39.8162642623,0.4492708705,0.7629398374,79.837,46.379,24.254,4.5351963,0.17570606,-2.8989282
SM:338_S248_R1_001,73.527,72.668,48.736,39.434,9.684,39.247,15.13,23.897,29.091,14.421,53.9030494562,41.9899018082,37.5515032865,34.2506012005,9.7005368644,47.6791966009,24.2688186174,36.0706863868,-0.0763867304,1.0477642695,83.011,46.054,23.652,-6.192165,-5.366468,-3.329906
SM:339_S260_R1_001,52.18,73.078,34.28,28.44,9.815,41.408,11.174,25.458,29.333,7.841,50.6581501899,40.6046750548,35.1732456948,31.5198051627,9.1046893591,41.9865974185,23.0609614293,32.4805014285,-0.3918595279,0.6243444552,77.245,47.839,24.094,5.2930603,0.44454864,0.06737601
SM:342_S272_R1_001,67.116,62.457,33.315,39.911,11.911,36.928,11.937,32.394,32.251,10.276,51.7540524819,37.8743619988,37.4522466442,35.1295697833,9.9246501939,44.632850028,24.4585702,34.7494305832,-0.174936134,-0.4382891597,72.083,41.017,24.194,3.9407625,1.3253125,-1.6479065
SM:343_S283_R1_001,44.36,35.585,36.22,25.035,5.508,22.792,5.614,15.276,20.505,2.49,41.6388821243,27.704315527,31.873404213,28.4776787337,7.3664739669,32.5074327437,15.4160375037,22.7648367355,-1.484978336,-2.0731567052,62.826,32.247,24.433,0.704446,-0.6423813,9.256291
SM:344_S295_R1_001,78.508,88.896,59.129,32.063,7.305,32.794,11.247,22.775,23.102,6.811,52.3027799346,45.1642182224,39.2732343004,30.9255255172,8.2957775741,49.737597278,20.3290284892,34.3755801108,-0.1716698708,0.3284167425,76.1,45.591,24.575,0.11333874,-2.1480153,6.7445016
