Roza2019_VCF_ID1,Roza2019_VCF_ID,Plant_ID
SM:100A_S461_R1_001,100A_S461_R1_001,100A
SM:100_S86_R1_001,100_S86_R1_001,100
SM:101A_S473_R1_001,101A_S473_R1_001,101A
SM:102A_S485_R1_001,102A_S485_R1_001,102A
SM:103A_S496_R1_001,103A_S496_R1_001,103A
SM:104_S109_R1_001,104_S109_R1_001,104
SM:107_S121_R1_001,107_S121_R1_001,107
SM:108_S40_R1_001,108_S40_R1_001,108
SM:10A_S412_R1_001,10A_S412_R1_001,10A
SM:111_S51_R1_001,111_S51_R1_001,111
SM:112A_S426_R1_001,112A_S426_R1_001,112A
SM:112_S63_R1_001,112_S63_R1_001,112
SM:113_S75_R1_001,113_S75_R1_001,113
SM:115_S87_R1_001,115_S87_R1_001,115
SM:116_S98_R1_001,116_S98_R1_001,116
SM:117_S110_R1_001,117_S110_R1_001,117
SM:118_S122_R1_001,118_S122_R1_001,118
SM:119A_S414_R1_001,119A_S414_R1_001,119A
SM:121_S64_R1_001,121_S64_R1_001,121
SM:123_S76_R1_001,123_S76_R1_001,123
SM:124_S88_R1_001,124_S88_R1_001,124
SM:125_S99_R1_001,125_S99_R1_001,125
SM:126_S111_R1_001,126_S111_R1_001,126
SM:128_S123_R1_001,128_S123_R1_001,128
SM:129_S41_R1_001,129_S41_R1_001,129
SM:12_S468_R1_001,12_S468_R1_001,12
SM:130_S53_R1_001,130_S53_R1_001,130
SM:131_S65_R1_001,131_S65_R1_001,131
SM:133_S77_R1_001,133_S77_R1_001,133
SM:134_S89_R1_001,134_S89_R1_001,134
SM:135_S100_R1_001,135_S100_R1_001,135
SM:138B_S438_R1_001,138B_S438_R1_001,138B
SM:138_S112_R1_001,138_S112_R1_001,138
SM:13_S16_R1_001,13_S16_R1_001,13
SM:140_S124_R1_001,140_S124_R1_001,140
SM:141_S42_R1_001,141_S42_R1_001,141
SM:143_S54_R1_001,143_S54_R1_001,143
SM:144_S66_R1_001,144_S66_R1_001,144
SM:145_S78_R1_001,145_S78_R1_001,145
SM:146_S90_R1_001,146_S90_R1_001,146
SM:147_S101_R1_001,147_S101_R1_001,147
SM:149_S113_R1_001,149_S113_R1_001,149
SM:14_S20_R1_001,14_S20_R1_001,14
SM:150_S125_R1_001,150_S125_R1_001,150
SM:151_S43_R1_001,151_S43_R1_001,151
SM:152_S55_R1_001,152_S55_R1_001,152
SM:153_S67_R1_001,153_S67_R1_001,153
SM:155_S79_R1_001,155_S79_R1_001,155
SM:156_S91_R1_001,156_S91_R1_001,156
SM:157_S102_R1_001,157_S102_R1_001,157
SM:158_S114_R1_001,158_S114_R1_001,158
SM:15B_S424_R1_001,15B_S424_R1_001,15B
SM:15_S24_R1_001,15_S24_R1_001,15
SM:1608-02_S479_R1_001,1608-02_S479_R1_001,1608-02
SM:1608-05_S431_R1_001,1608-05_S431_R1_001,1608-05
SM:1608-14_S455_R1_001,1608-14_S455_R1_001,1608-14
SM:1608-15_S52_R1_001,1608-15_S52_R1_001,1608-15
SM:1608-19_S443_R1_001,1608-19_S443_R1_001,1608-19
SM:1608-23_S467_R1_001,1608-23_S467_R1_001,1608-23
SM:1608-24_S478_R1_001,1608-24_S478_R1_001,1608-24
SM:160_S126_R1_001,160_S126_R1_001,160
SM:1613-02_S465_R1_001,1613-02_S465_R1_001,1613-02
SM:1613-08_S419_R1_001,1613-08_S419_R1_001,1613-08
SM:1613-10_S477_R1_001,1613-10_S477_R1_001,1613-10
SM:1613-11_S489_R1_001,1613-11_S489_R1_001,1613-11
SM:1613-12_S430_R1_001,1613-12_S430_R1_001,1613-12
SM:1613-20_S454_R1_001,1613-20_S454_R1_001,1613-20
SM:1613-21_S418_R1_001,1613-21_S418_R1_001,1613-21
SM:1613-22_S466_R1_001,1613-22_S466_R1_001,1613-22
SM:1613-23_S442_R1_001,1613-23_S442_R1_001,1613-23
SM:1613-29_H07_S501_R1_001,1613-29_H07_S501_R1_001,1613-29_H07
SM:1613-29_S500_R1_001,1613-29_S500_R1_001,1613-29
SM:161_S44_R1_001,161_S44_R1_001,161
SM:1622-12B_S490_R1_001,1622-12B_S490_R1_001,1622-12B
SM:163_S56_R1_001,163_S56_R1_001,163
SM:164_S68_R1_001,164_S68_R1_001,164
SM:166B_S450_R1_001,166B_S450_R1_001,166B
SM:166_S80_R1_001,166_S80_R1_001,166
SM:168_S92_R1_001,168_S92_R1_001,168
SM:169_S10_R1_001,169_S10_R1_001,169
SM:16_S28_R1_001,16_S28_R1_001,16
SM:170B_S462_R1_001,170B_S462_R1_001,170B
SM:170_S115_R1_001,170_S115_R1_001,170
SM:172A_S474_R1_001,172A_S474_R1_001,172A
SM:172_S127_R1_001,172_S127_R1_001,172
SM:173_S45_R1_001,173_S45_R1_001,173
SM:175_S57_R1_001,175_S57_R1_001,175
SM:176_S69_R1_001,176_S69_R1_001,176
SM:178_S81_R1_001,178_S81_R1_001,178
SM:17_S480_R1_001,17_S480_R1_001,17
SM:180B_S486_R1_001,180B_S486_R1_001,180B
SM:183_S93_R1_001,183_S93_R1_001,183
SM:184_S104_R1_001,184_S104_R1_001,184
SM:185B_S497_R1_001,185B_S497_R1_001,185B
SM:186_S116_R1_001,186_S116_R1_001,186
SM:187_S15_R1_001,187_S15_R1_001,187
SM:188_S5_R1_001,188_S5_R1_001,188
SM:189_S58_R1_001,189_S58_R1_001,189
SM:18_S32_R1_001,18_S32_R1_001,18
SM:190_S70_R1_001,190_S70_R1_001,190
SM:191_S82_R1_001,191_S82_R1_001,191
SM:193_S94_R1_001,193_S94_R1_001,193
SM:194_S105_R1_001,194_S105_R1_001,194
SM:195_S117_R1_001,195_S117_R1_001,195
SM:196_S129_R1_001,196_S129_R1_001,196
SM:198_S130_R1_001,198_S130_R1_001,198
SM:199_S141_R1_001,199_S141_R1_001,199
SM:19_S2_R1_001,19_S2_R1_001,19
SM:1_S502_R1_001,1_S502_R1_001,1
SM:200B_S415_R1_001,200B_S415_R1_001,200B
SM:200_S153_R1_001,200_S153_R1_001,200
SM:201A_S427_R1_001,201A_S427_R1_001,201A
SM:201_S165_R1_001,201_S165_R1_001,201
