Name_Field,gen,Repeated,VCF
184_S104_R1_001,184,NR,SM:184_S104_R1_001
185B_S497_R1_001,185B,NR,SM:185B_S497_R1_001
186_S116_R1_001,186,NR,SM:186_S116_R1_001
187_S15_R1_001,187,NR,SM:187_S15_R1_001
188_S5_R1_001,188,NR,SM:188_S5_R1_001
189_S58_R1_001,189,NR,SM:189_S58_R1_001
18_S32_R1_001,18,NR,SM:18_S32_R1_001
190_S70_R1_001,190,NR,SM:190_S70_R1_001
191_S82_R1_001,191,NR,SM:191_S82_R1_001
193_S94_R1_001,193,NR,SM:193_S94_R1_001
194_S105_R1_001,194,NR,SM:194_S105_R1_001
195_S117_R1_001,195,NR,SM:195_S117_R1_001
196_S129_R1_001,196,NR,SM:196_S129_R1_001
198_S130_R1_001,198,NR,SM:198_S130_R1_001
199_S141_R1_001,199,NR,SM:199_S141_R1_001
19_S2_R1_001,19,NR,SM:19_S2_R1_001
1_S502_R1_001,1,NR,SM:1_S502_R1_001
200B_S415_R1_001,200B,NR,SM:200B_S415_R1_001
200_S153_R1_001,200,NR,SM:200_S153_R1_001
201A_S427_R1_001,201A,NR,SM:201A_S427_R1_001
201_S165_R1_001,201,NR,SM:201_S165_R1_001
202B_S439_R1_001,202B,NR,SM:202B_S439_R1_001
203A_S451_R1_001,203A,NR,SM:203A_S451_R1_001
203B_S463_R1_001,203B,NR,SM:203B_S463_R1_001
