Name_Field,gen,Repeated,VCF
322_S199_R1_001,322,NR,SM:322_S199_R1_001
324_S211_R1_001,324,NR,SM:324_S211_R1_001
325_S223_R1_001,325,NR,SM:325_S223_R1_001
326_S224_R1_001,326,NR,SM:326_S224_R1_001
327_S236_R1_001,327,NR,SM:327_S236_R1_001
32B_S436_R1_001,32B,NR,SM:32B_S436_R1_001
330_S259_R1_001,330,NR,SM:330_S259_R1_001
331_E01_S271_R1_001,'331_E01,R,SM:331_E01_S271_R1_001
331_S128_R1_001,331,R,SM:331_S128_R1_001
333_S294_R1_001,333,NR,SM:333_S294_R1_001
334_S306_R1_001,334,NR,SM:334_S306_R1_001
335_S225_R1_001,335,NR,SM:335_S225_R1_001
337_S237_R1_001,337,NR,SM:337_S237_R1_001
338_S248_R1_001,338,NR,SM:338_S248_R1_001
339_S260_R1_001,339,NR,SM:339_S260_R1_001
342_S272_R1_001,342,NR,SM:342_S272_R1_001
343_S283_R1_001,343,NR,SM:343_S283_R1_001
344_S295_R1_001,344,NR,SM:344_S295_R1_001
34_S434_R1_001,34,NR,SM:34_S434_R1_001
350_S307_R1_001,350,NR,SM:350_S307_R1_001
351_S226_R1_001,351,NR,SM:351_S226_R1_001
353_S238_R1_001,353,NR,SM:353_S238_R1_001
354_S249_R1_001,354,NR,SM:354_S249_R1_001
355_S261_R1_001,355,NR,SM:355_S261_R1_001
356_S273_R1_001,356,NR,SM:356_S273_R1_001
357_S284_R1_001,357,NR,SM:357_S284_R1_001
358_S296_R1_001,358,NR,SM:358_S296_R1_001
35_S446_R1_001,35,NR,SM:35_S446_R1_001
360_S308_R1_001,360,NR,SM:360_S308_R1_001
361_S227_R1_001,361,NR,SM:361_S227_R1_001
362_S239_R1_001,362,NR,SM:362_S239_R1_001
363_S250_R1_001,363,NR,SM:363_S250_R1_001
364_S262_R1_001,364,NR,SM:364_S262_R1_001
366_S274_R1_001,366,NR,SM:366_S274_R1_001
367_S285_R1_001,367,NR,SM:367_S285_R1_001
368_S297_R1_001,368,NR,SM:368_S297_R1_001
369_S309_R1_001,369,NR,SM:369_S309_R1_001
36_S458_R1_001,36,NR,SM:36_S458_R1_001
370_S228_R1_001,370,NR,SM:370_S228_R1_001
371_S240_R1_001,371,NR,SM:371_S240_R1_001
372_S251_R1_001,372,NR,SM:372_S251_R1_001
373_S263_R1_001,373,NR,SM:373_S263_R1_001
374_S275_R1_001,374,NR,SM:374_S275_R1_001
375_S286_R1_001,375,NR,SM:375_S286_R1_001
376_S298_R1_001,376,NR,SM:376_S298_R1_001
378_S310_R1_001,378,NR,SM:378_S310_R1_001
379_S229_R1_001,379,NR,SM:379_S229_R1_001
37_S423_R1_001,37,NR,SM:37_S423_R1_001
380_S241_R1_001,380,NR,SM:380_S241_R1_001
381_S252_R1_001,381,NR,SM:381_S252_R1_001
382_S264_R1_001,382,NR,SM:382_S264_R1_001
383_S276_R1_001,383,NR,SM:383_S276_R1_001
384_S287_R1_001,384,NR,SM:384_S287_R1_001
385_S299_R1_001,385,NR,SM:385_S299_R1_001
386_S311_R1_001,386,NR,SM:386_S311_R1_001
387_S230_R1_001,387,NR,SM:387_S230_R1_001
389_S242_R1_001,389,NR,SM:389_S242_R1_001
38_S435_R1_001,38,NR,SM:38_S435_R1_001
390_S253_R1_001,390,NR,SM:390_S253_R1_001
391_S265_R1_001,391,NR,SM:391_S265_R1_001
392_S277_R1_001,392,NR,SM:392_S277_R1_001
393_S288_R1_001,393,NR,SM:393_S288_R1_001
397_S300_R1_001,397,NR,SM:397_S300_R1_001
39_S447_R1_001,39,NR,SM:39_S447_R1_001
3_S432_R1_001,3,NR,SM:3_S432_R1_001
400_S312_R1_001,400,NR,SM:400_S312_R1_001
401_S231_R1_001,401,NR,SM:401_S231_R1_001
402_S243_R1_001,402,NR,SM:402_S243_R1_001
404_S254_R1_001,404,NR,SM:404_S254_R1_001
405_S266_R1_001,405,NR,SM:405_S266_R1_001
406_S278_R1_001,406,NR,SM:406_S278_R1_001
408_S289_R1_001,408,NR,SM:408_S289_R1_001
409_S301_R1_001,409,NR,SM:409_S301_R1_001
40_S459_R1_001,40,NR,SM:40_S459_R1_001
410_S313_R1_001,410,NR,SM:410_S313_R1_001
411_S232_R1_001,411,NR,SM:411_S232_R1_001
413_S244_R1_001,413,NR,SM:413_S244_R1_001
414_S255_R1_001,414,NR,SM:414_S255_R1_001
416_S267_R1_001,416,NR,SM:416_S267_R1_001
41_S470_R1_001,41,NR,SM:41_S470_R1_001
420_S279_R1_001,420,NR,SM:420_S279_R1_001
421_S290_R1_001,421,NR,SM:421_S290_R1_001
422_S302_R1_001,422,NR,SM:422_S302_R1_001
423_S314_R1_001,423,NR,SM:423_S314_R1_001
425_S233_R1_001,425,NR,SM:425_S233_R1_001
427_S245_R1_001,427,NR,SM:427_S245_R1_001
428_S256_R1_001,428,NR,SM:428_S256_R1_001
42_S482_R1_001,42,NR,SM:42_S482_R1_001
432_S268_R1_001,432,NR,SM:432_S268_R1_001
435_S280_R1_001,435,NR,SM:435_S280_R1_001
436_S291_R1_001,436,NR,SM:436_S291_R1_001
437_S303_R1_001,437,NR,SM:437_S303_R1_001
438_S315_R1_001,438,NR,SM:438_S315_R1_001
439_S234_R1_001,439,NR,SM:439_S234_R1_001
43_S493_R1_001,43,NR,SM:43_S493_R1_001
440_S246_R1_001,440,NR,SM:440_S246_R1_001
441_S257_R1_001,441,NR,SM:441_S257_R1_001
442_S269_R1_001,442,NR,SM:442_S269_R1_001
446_S281_R1_001,446,NR,SM:446_S281_R1_001
447_S292_R1_001,447,NR,SM:447_S292_R1_001
449_S304_R1_001,449,NR,SM:449_S304_R1_001
44_S505_R1_001,44,NR,SM:44_S505_R1_001
450_S316_R1_001,450,NR,SM:450_S316_R1_001
451_S235_R1_001,451,NR,SM:451_S235_R1_001
452_S247_R1_001,452,NR,SM:452_S247_R1_001
453_S258_R1_001,453,NR,SM:453_S258_R1_001
454_S270_R1_001,454,NR,SM:454_S270_R1_001
456_S282_R1_001,456,NR,SM:456_S282_R1_001
457_S293_R1_001,457,NR,SM:457_S293_R1_001
459_S305_R1_001,459,NR,SM:459_S305_R1_001
45_S471_R1_001,45,NR,SM:45_S471_R1_001
461_S317_R1_001,461,NR,SM:461_S317_R1_001
464_S329_R1_001,464,NR,SM:464_S329_R1_001
465_S341_R1_001,465,NR,SM:465_S341_R1_001
466_S353_R1_001,466,NR,SM:466_S353_R1_001
467_S365_R1_001,467,NR,SM:467_S365_R1_001
469_S377_R1_001,469,NR,SM:469_S377_R1_001
46_S483_R1_001,46,NR,SM:46_S483_R1_001
470_S388_R1_001,470,NR,SM:470_S388_R1_001
475_S400_R1_001,475,NR,SM:475_S400_R1_001
476_S318_R1_001,476,NR,SM:476_S318_R1_001
477969_S453_R1_001,477969,NR,SM:477969_S453_R1_001
477_S330_R1_001,477,NR,SM:477_S330_R1_001
478_S342_R1_001,478,NR,SM:478_S342_R1_001
479_S354_R1_001,479,NR,SM:479_S354_R1_001
47_S494_R1_001,47,NR,SM:47_S494_R1_001
480_S366_R1_001,480,NR,SM:480_S366_R1_001
481_S378_R1_001,481,NR,SM:481_S378_R1_001
482_S389_R1_001,482,NR,SM:482_S389_R1_001
483_S401_R1_001,483,NR,SM:483_S401_R1_001
485_S319_R1_001,485,NR,SM:485_S319_R1_001
486_S331_R1_001,486,NR,SM:486_S331_R1_001
487_S343_R1_001,487,NR,SM:487_S343_R1_001
488_S355_R1_001,488,NR,SM:488_S355_R1_001
489_S367_R1_001,489,NR,SM:489_S367_R1_001
48_S13_R1_001,48,NR,SM:48_S13_R1_001
490_S379_R1_001,490,NR,SM:490_S379_R1_001
492_S390_R1_001,492,NR,SM:492_S390_R1_001
493_S402_R1_001,493,NR,SM:493_S402_R1_001
494_S320_R1_001,494,NR,SM:494_S320_R1_001
495_S332_R1_001,495,NR,SM:495_S332_R1_001
496_S344_R1_001,496,NR,SM:496_S344_R1_001
498_S356_R1_001,498,NR,SM:498_S356_R1_001
499_E04_S368_R1_001,'499_E04,R,SM:499_E04_S368_R1_001
499_S46_R1_001,499,R,SM:499_S46_R1_001
49_S18_R1_001,49,NR,SM:49_S18_R1_001
4_S444_R1_001,4,NR,SM:4_S444_R1_001
502_S380_R1_001,502,NR,SM:502_S380_R1_001
503_S391_R1_001,503,NR,SM:503_S391_R1_001
504_S403_R1_001,504,NR,SM:504_S403_R1_001
505_S321_R1_001,505,NR,SM:505_S321_R1_001
506_C10_S445_R1_001,'506_C10,R,SM:506_C10_S445_R1_001
506_S333_R1_001,506,R,SM:506_S333_R1_001
507_S345_R1_001,507,NR,SM:507_S345_R1_001
508_S357_R1_001,508,NR,SM:508_S357_R1_001
509_S369_R1_001,509,NR,SM:509_S369_R1_001
50_S22_R1_001,50,NR,SM:50_S22_R1_001
510_S381_R1_001,510,NR,SM:510_S381_R1_001
511_S392_R1_001,511,NR,SM:511_S392_R1_001
512_S404_R1_001,512,NR,SM:512_S404_R1_001
513_S322_R1_001,513,NR,SM:513_S322_R1_001
514_S334_R1_001,514,NR,SM:514_S334_R1_001
515_S346_R1_001,515,NR,SM:515_S346_R1_001
518_S358_R1_001,518,NR,SM:518_S358_R1_001
519_S370_R1_001,519,NR,SM:519_S370_R1_001
51_S26_R1_001,51,NR,SM:51_S26_R1_001
521_S382_R1_001,521,NR,SM:521_S382_R1_001
522_S393_R1_001,522,NR,SM:522_S393_R1_001
524_S405_R1_001,524,NR,SM:524_S405_R1_001
525_S323_R1_001,525,NR,SM:525_S323_R1_001
527_S335_R1_001,527,NR,SM:527_S335_R1_001
528_S347_R1_001,528,NR,SM:528_S347_R1_001
529_S359_R1_001,529,NR,SM:529_S359_R1_001
52_S30_R1_001,52,NR,SM:52_S30_R1_001
530_S371_R1_001,530,NR,SM:530_S371_R1_001
532_S383_R1_001,532,NR,SM:532_S383_R1_001
533_A10_S421_R1_001,'533_A10,R,SM:533_A10_S421_R1_001
533_S394_R1_001,533,R,SM:533_S394_R1_001
535_S406_R1_001,535,NR,SM:535_S406_R1_001
536_S324_R1_001,536,NR,SM:536_S324_R1_001
537_S336_R1_001,537,NR,SM:537_S336_R1_001
53_S34_R1_001,53,NR,SM:53_S34_R1_001
540_S348_R1_001,540,NR,SM:540_S348_R1_001
542_S360_R1_001,542,NR,SM:542_S360_R1_001
543_S372_R1_001,543,NR,SM:543_S372_R1_001
544_S384_R1_001,544,NR,SM:544_S384_R1_001
