gen,ST0_aug_20,ST0_aug_21,ST0_aug_22,ST0_jul_20,ST0_jul_21,ST0_jul_22,ST0_jun_20,ST0_jun_21,ST0_jun_22,ST0_may_20,ST0_may_21,ST0_sep_20,ST0_sep_21,ST0_sep_22,ST0_total_20,ST0_total_21,ST0_total_22,ST1_aug_20,ST1_aug_21,ST1_aug_22,ST1_jul_20,ST1_jul_21,ST1_jul_22,ST1_jun_20,ST1_jun_21,ST1_jun_22,ST1_may_20,ST1_may_21,ST1_sep_20,ST1_sep_21,ST1_sep_22,ST2_may,ST2_jun,ST2_jul,ST2_aug,ST2_sep,ST3_20,ST3_21,ST3_22,ST4_Yi
1,36.3874130182779,10.6981601474856,21.5860515310106,42.8751946352342,25.6783591158921,49.6479812364572,63.9629692635297,12.6746308134989,67.9284281564886,68.8589199480872,37.3102005746813,12.7914371612659,3.00118578149121,33.0391739972799,217.19896072156,94.7199199651925,170.770619457801,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,51.7029737038267,47.5361378389867,37.444593963984,27.5546671500682,18.309558751784,44.391286268788,21.756125800498,41.300940043923,35.4243443230087
4,38.7440820554219,30.1771193669661,24.8398956729824,44.5831355323941,33.6716365449434,47.0048386116115,64.296510285235,20.7890506199687,54.1727113973108,68.1693168630108,48.387448562783,16.0718084797115,8.60925956145903,47.4934191213146,222.817570122084,148.888488597382,173.979594837534,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,56.5818080469707,53.2479272532618,43.1703059488948,33.342985099101,24.0342992572376,49.2141747188998,26.832440637169,48.5792729972708,41.0392977692448
5,31.7138519902734,28.3574306869642,13.428284539828,45.6289361935988,34.0352987132263,30.1593195300283,49.2814607943962,19.3149527425171,69.2753537095949,72.4147224523919,45.5482935410707,19.5628144507035,5.35952059228924,61.0055913818424,214.521713269352,137.014809374533,167.902604671404,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,56.0558895687754,52.5384976023836,42.5297792855579,32.9029600228765,24.0234201721084,49.0968154543494,26.252804808952,47.8369122674558,40.5782678847378
6,41.6421773503304,42.0487714792587,27.1401991255453,88.476124275038,37.2318510811189,52.8763433941532,96.7303057694122,17.8252541660492,65.7222029102357,71.6080048739033,54.9145052598899,12.9738263951213,2.83393450786879,60.6420157903363,304.586492891777,158.528599022559,206.751057769151,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,58.49117297906,55.4804919936647,45.4105105904701,35.3275640550458,25.5910701652947,51.1184810490417,28.3721369353734,51.2395416123676,43.0293754551104
7,32.0010793255602,25.643404115465,21.102841927417,57.371700181942,33.5344612846146,29.4244383352021,60.935319616553,15.9923383339263,30.9359405471588,43.8899100610585,37.3242833049201,15.4523595203835,6.77181923699393,41.4288330823959,208.217051643344,120.023852814716,118.772001318899,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.083624552727,49.233544517809,39.381176233367,29.7620795531018,20.6964844407177,46.0494242259658,23.6487404912175,43.7240699386309,37.3847930957457
9,57.0334275633848,40.560834227354,16.7736584416282,71.8981587765499,38.5671304652515,35.5482453907656,69.5835622602069,14.9376788405245,89.4497606802347,71.4413142620998,50.6182021014019,13.3276021703407,4.95286560913649,55.2049330602297,288.91023706081,148.436058284426,188.930337185668,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,56.6153467980286,53.141770297911,43.176986736115,33.3353465644473,23.8407047818457,49.434490158036,26.6562777818386,48.3153197594103,40.9796513383581
12,44.2998317527557,24.0394254715483,21.7701017359922,43.5643185461357,29.3983212108824,35.9275357655402,55.717221719131,15.9858262043864,52.7583576983663,55.8534383880214,32.9832408150706,14.7086903075238,6.98123091198439,48.9875443172932,221.152714491329,107.454865500525,161.182097495282,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.3542857341482,49.6837391480328,39.8201296393738,30.2984164838926,21.265151821026,46.3231797659129,23.9675500898027,44.6143083666735,37.850777338948
13,47.258932689604,29.3461464626256,30.0753826410501,52.5874938392149,28.2654288127213,33.2069757863061,40.3008196707686,13.2097870693426,58.399497688746,45.2984653081027,32.439228568565,11.5309047046391,8.30929847375025,48.0603393588368,197.932386206503,112.626672686292,170.166599975819,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,52.2761389000824,48.7638667329036,39.1065125102154,29.783429698002,20.657736205431,44.9769811597982,23.5189388743057,44.2518282673254,37.1062080885586
14,52.2208210619789,26.0269838136962,25.5921829062406,55.9299155532343,30.3896034911583,55.8431734669097,63.9080031752184,14.9322282337986,54.1408756552345,60.2700214651877,48.404029425022,9.21404355167441,7.31630052246044,55.7975092015528,241.108175202101,129.515355382638,178.944399866925,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,54.5616892998468,51.2899608892921,41.37932400807,31.5906213266252,22.1849725098046,46.8138670580004,25.3008275339164,46.9711354603714,39.1755724857907
15,36.5240866357014,22.7312975927367,26.1665135349299,45.1404189461518,23.1790734830186,35.0802492088336,58.4830300413119,10.6344894933968,59.8243615417954,65.7234125892312,37.3010280802173,10.2847423850245,5.81241952482221,45.6416109151435,218.746568717033,100.916205728379,162.780333414565,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,51.3742966974647,47.436510671991,37.5229140669075,28.0177050289223,18.9006824641127,43.9053253846491,22.0931270022415,42.0974420390694,35.5987164350522
16,59.6541634379511,35.522144402615,35.6381056122505,81.5954380419549,33.9348577237797,42.4445033970322,108.245297697292,18.4111786650601,144.802289407746,53.649849877592,63.0514134392735,19.2647549589083,12.3254426547648,75.6381644982024,321.379480347751,167.691112041433,295.910423619368,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,62.0677230375502,59.7152599245396,49.681991494239,40.0038469765089,30.6723096933059,55.4765830553505,31.8628021341656,56.9146860983251,47.45397645292
17,31.3134078970582,30.2353340328144,26.6982470773515,51.4716364811976,25.9758079657242,18.4163378192322,53.7880247097902,14.6520808411904,57.7711795858324,50.7152324891402,40.2564760353007,17.6088227066624,12.2879885593524,42.4885510376497,209.813794784013,125.48405638948,144.493366606398,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.6342886056416,49.8026398231592,39.9772476266237,30.7288375780277,21.8982232970313,46.8426457679462,24.2734589586764,44.7272246381739,38.1778158704149
18,62.0908374159373,49.7332291191848,48.2599418351857,106.663426621946,45.6280591684189,44.0876880653402,143.712759495636,26.7230464787825,154.392531543265,118.068769777903,46.7671207346704,35.4970441980975,17.5216290957452,85.0573793639031,469.044609177209,185.914268466306,333.001669523034,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,71.9715895998387,70.2908275210115,60.2944733328077,50.6173667181651,41.2520158021533,67.5457737563408,39.9010614697329,68.5182632979305,57.9505163801493
19,43.9200110978005,28.4167027472742,24.4397367376496,56.8194451404593,22.173598985512,34.2456096490068,66.8285094209395,16.0454038025428,50.9035318415001,66.3933903186137,56.1191546595819,14.0370196457018,7.02750921233141,32.7036079194808,248.75681125438,133.064227581759,141.740250084963,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,54.1463205102002,50.0243357852963,39.8271140919231,30.1007051310809,20.7245724233129,46.8582914584828,23.9933860283625,44.0161089702534,37.8802016653743
20,33.1164203477935,31.2869483077319,25.5884055623396,61.3050986399014,24.5152950682167,33.097519550395,58.0986206502256,13.9951883053511,80.1172250685802,63.0631604923813,40.6082781532935,11.7946199242484,7.8804678225618,45.4726380576708,224.092665429184,119.944122219579,181.759581244218,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.1830541413236,49.496830959739,39.5187974061612,29.9411939624883,20.7384854006078,45.712034059273,23.8278867365338,44.4381068726504,37.5322879621168
22,36.8595177114274,15.4830657438052,28.7802335282082,36.7399611837711,21.3633584330126,33.2395042560982,64.6631240823598,11.3574851960433,64.8990908292881,54.1414068527272,44.980087417726,11.4669642437793,11.8212951705626,40.7354720144483,198.805810030345,106.053398363533,169.542150033728,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,51.7989900211574,47.8845351466687,37.9035761965963,28.4515440364317,19.4768133187077,44.3279050512936,22.5398664754339,42.6021321259726,36.0533847241091
23,45.6020938366536,15.7368366150492,28.0403583897271,71.4101756986296,27.2781573085792,21.1293748813476,73.2353060564541,14.8070636836776,153.459215834223,64.3502662865106,37.0985629647124,19.7555889138327,13.6182730598363,49.0502476202069,269.088528993855,107.934301977342,249.778933636192,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,56.3191269163362,52.795181030099,42.7683785200235,33.2630418616721,24.3855289315039,50.0383962581215,26.1168279776831,47.8746309208863,40.8767603473263
24,84.2930939787668,33.8989055889253,15.694103440623,134.287278993329,50.8703228247754,49.420657919484,109.761969393051,12.9784261635882,135.444765743034,99.136017783628,59.6283415655986,28.1245697871924,6.3669231516786,39.7416978787524,447.103974455414,166.52950870676,221.30101086837,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,64.4643609843343,60.846158266351,50.9828229573629,40.7488666154601,30.9792181427288,59.764607925039,31.8279345949015,55.4093018286686,48.5428514224555
25,35.0546216669431,14.4362005859879,16.7700356941354,30.6976949077056,16.939654779351,29.1918817871792,49.6635302613169,10.0174814521976,49.0774143097193,35.3176991862786,24.4279377771704,10.6958176269524,2.35096483744852,20.704157849507,156.500343518528,69.4994502721587,118.965408201795,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,46.8893766334961,42.1468560800688,32.2007444477093,22.7396336004997,13.7499907890483,39.6443691831491,17.6564738869833,34.9465531670771,30.4493162870693
26,23.3309524780244,21.9873536663756,19.9738034468958,29.1039875968456,19.5143663435388,60.9984191268309,48.6241118984799,9.57806326766258,97.9380032367254,41.712016272472,28.9783602138883,7.77586434573794,4.18764327108177,20.9350591170685,139.931457763754,86.1450788444073,198.50531115947,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,48.2772672127121,44.1970200796858,34.2328252232963,24.4517155896847,15.1438588248403,40.218650394615,19.4346481503207,38.0910752133166,32.1879138269961
27,26.3363022628852,20.6023490422185,20.2349974952659,37.1571655604707,22.1155442137598,29.3023483372185,52.9536129661225,18.5462683944397,40.3239513306351,49.9937878280747,33.233471370272,12.3049968645745,8.40035405452616,40.2999469932142,170.656969638094,105.366188546682,123.955030441709,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,51.3333451857432,47.4140686390227,37.3189800317911,27.7492914510832,18.7970303238132,43.7333122151718,22.2015214014864,41.7076584063315,35.4646286934726
28,26.005141341653,15.7399240814965,15.4947100227717,43.8186247588293,19.3954900827246,21.0700316645018,47.9114612580056,14.5211014113528,50.6498547512559,41.336678635213,32.9450073227548,13.5325825734576,1.52775516680891,30.2815924400668,161.024596567943,82.410106072436,116.501134797899,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,48.8307246283496,44.2399242359409,34.17618876272,24.631523306474,15.7280167841022,41.6138051016335,19.3314972421282,37.3154742014004,32.4277434660293
29,23.632473520735,25.3471916128451,19.4078471581522,44.6189843296964,17.5897570647217,32.3753910073931,52.0672241674269,9.46557256553869,45.113711302292,35.5874491593455,26.0057349265097,13.4256748715368,0.803705012170921,25.8501454718188,170.564092669607,75.5176130108445,115.535883726513,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,48.1478983437815,43.6025698417876,33.7847184095854,24.3940029074488,15.4149807369791,41.1646890258707,18.8840360551499,36.9102467424658,31.9917580267833
30,35.9440140302736,19.1034434626112,16.2912239575023,42.4493296030884,14.4893077427687,30.6170540668995,52.0541906646021,10.9752571624341,47.9449846663525,59.3244437057546,32.7626205504331,7.94527787059184,4.88232635456898,28.3061924912808,196.465472189263,83.8782904382482,117.621751316064,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,48.2834817713907,43.6678970962738,33.5733229585415,24.0014487637011,14.886872844932,40.6245852637495,18.912651560448,36.8173511030347,31.7825420380805
32,42.8351131096279,22.3740099612197,27.2794054213354,54.8255348784606,29.7557902623625,38.4616737354557,47.5961147496996,16.3386437958084,49.9370588696072,57.8736342540528,43.2926604470772,10.7121699225043,6.52224451501779,41.2236700391381,208.538031877304,116.909111187015,154.525662233137,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,52.9133584753647,49.2122839485154,39.2438354231538,29.512874733928,20.1699720364613,45.2198195952662,23.6212018694396,44.009627013344,37.1602582412075
33,30.1008115050313,19.6840630926708,14.0634404874889,30.6111929018027,22.0338840419495,30.1784220584877,50.8097547081423,11.3543859460473,43.106954697884,45.0966337300611,32.9298678231294,9.67890097985032,1.98424057754856,32.0825890474081,165.200682241026,85.7440104843673,114.787994594411,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,48.2506518384763,43.7619730694494,33.7583148366938,24.1692702206841,15.1357061952599,40.6074945913403,19.0991890750359,37.1109195778333,31.9269354745153
34,31.6706570758807,10.8752658502122,19.5776430656534,56.3874256031028,18.407737473832,32.6450320282038,60.4612431841784,11.2652326339895,98.2111013192882,48.1987694262237,38.0317542385509,13.7345761438888,6.65555706370838,36.6974324605227,213.759996037643,81.6717842826723,187.666553838035,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,50.8282721012636,46.6121589940307,36.5547706056047,26.9510810562428,18.054165011885,43.7435036817006,21.1357818034355,40.4441609450342,34.7266479432726
36,34.6034329040609,13.2059952486687,17.8755238708977,48.3147267324201,17.905639228536,49.7036819752073,55.5027111720371,13.7562116845319,72.3500023326914,76.9641485087887,30.5720081866296,11.2785071764028,0.296506422462786,39.8725292321419,236.717814884359,73.8963451316208,176.995867868961,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,50.8154541229946,46.6190230144161,36.4627362136909,26.6256674970299,17.4472838295931,43.4179203474894,20.9358739633054,40.3315170890512,34.5067885650128
37,36.2772058045618,36.7980184928343,25.0933920257245,55.8247654522008,23.9909820866293,35.460838922487,59.4393194181271,16.5939585231668,62.3592311640086,56.4975590030904,38.9299695469149,11.9541969400238,10.129506249347,43.358328808653,220.992507115938,126.460836288506,162.890640921738,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.6164954356899,50.0487181056054,40.0841167410602,30.5552465012746,21.3207601988591,46.1295533370592,24.4208661254728,45.1268545497794,38.0899653936984
40,28.3380315896693,20.5742765046477,22.8019700827225,34.8713700766952,18.3035609194242,21.5324909953019,59.7751358372941,13.0890283717667,74.2244479287566,37.9676845098539,34.7590456057509,12.5404730570227,4.81674981573205,36.7921116036537,182.211874202606,90.1991040080265,145.009716992914,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,49.888172544336,45.7253628860397,35.6688794489934,26.2605578018498,17.3313096305353,42.5349299525056,20.6764011435561,39.6695047276545,33.9096195993519
41,41.5361102665041,35.2532766654946,27.8746835934852,41.3376590011162,28.177830782073,42.3551186555977,40.4912258223239,18.2513756328113,75.4759116337505,58.4677171845368,57.707301168743,21.8590775813509,9.23894736983451,41.6801702555268,203.816065379966,149.501671022922,177.322821901479,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,56.8081795355222,53.2924941734878,43.3897751450884,33.9338560372694,24.848916726846,50.0182153474991,26.9808787005856,48.7540037696738,41.4293918085085
42,23.9160000145038,16.9705796117422,20.8846882060821,31.5023913214647,19.8062687405528,29.6998952313082,49.5554845868078,11.870881366203,57.263220501598,48.5731944344361,27.5260039200414,8.18917899220159,2.16525195754292,34.442455620044,169.451737206346,79.0950201582048,142.545787789945,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,47.9362341062124,43.6465070513284,33.6111404899706,24.0419305450545,14.9890894957253,40.0771804493782,19.0064292945172,37.3301055597961,31.7670336399044
