Accession,GEN,Planting_ID,plant,Male_parent_number,MaleParent,cons
361_15F-112A-6,361,112A,6,15F,1622,265
362_15F-112A-7,362,112A,7,15F,1622,266
363_15F-112A-5,363,112A,5,15F,1622,267
364_15G-113A-4,364,113A,4,15G,1622,268
366_17F-130A-5,366,130A,5,17F,1622,269
367_17F-130A-6,367,130A,6,17F,1622,270
368_17H-132A-6,368,132A,6,17H,1622,271
369_17H-132A-4,369,132A,4,17H,1622,272
370_18C-139A-4,370,139A,4,18C,1622,273
371_18C-139A-6,371,139A,6,18C,1622,274
372_18D-140A-6,372,140A,6,18D,1622,275
373_18D-140A-7,373,140A,7,18D,1622,276
374_18D-140A-4,374,140A,4,18D,1622,277
375_18F-142A-3,375,142A,3,18F,1622,278
376_18F-142A-4,376,142A,4,18F,1622,279
378_19B-148A-3,378,148A,3,19B,1622,280
379_19C-149A-7,379,149A,7,19C,1622,281
380_19C-149A-4,380,149A,4,19C,1622,282
381_19C-149A-5,381,149A,5,19C,1622,283
382_19J-153A-6,382,153A,6,19J,1622,284
383_19J-153A-5,383,153A,5,19J,1622,285
384_19K-154A-3,384,154A,3,19K,1622,286
385_19K-154A-5,385,154A,5,19K,1622,287
386_2D-4A-4,386,4A,4,2D,1622,288
387_2D-4A-3,387,4A,3,2D,1622,289
389_20H-161A-3,389,161A,3,20H,1622,290
390_20H-161A-6,390,161A,6,20H,1622,291
391_20H-161A-7,391,161A,7,20H,1622,292
392_21 I-170A-4,392,170A,4,21I,1622,293
393_21A-166A-3,393,166A,3,21A,1622,294
397_22F-176A-4,397,176A,4,22F,1622,295
400_22F-176A-7,400,176A,7,22F,1622,296
401_22F-176A-3,401,176A,3,22F,1622,297
402_22G-177A-3,402,177A,3,22G,1622,298
404_23A-182A-4,404,182A,4,23A,1622,299
405_23D-184A-6,405,184A,6,23D,1622,300
406_23D-184A-7,406,184A,7,23D,1622,301
408_23F-186A-7,408,186A,7,23F,1622,302
409_26A-192A-4,409,192A,4,26A,1622,303
410_26D-195A-3,410,195A,3,26D,1622,304
411_26D-195A-4,411,195A,4,26D,1622,305
413_26D-195A-8,413,195A,8,26D,1622,306
414_26E-196A-5,414,196A,5,26E,1622,307
416_26E-196A-4,416,196A,4,26E,1622,308
420_28B-204A-5,420,204A,5,28B,1622,309
421_28D-206A-3,421,206A,3,28D,1622,310
422_28D-206A-6,422,206A,6,28D,1622,311
423_28D-206A-7,423,206A,7,28D,1622,312
425_28D-206A-4,425,206A,4,28D,1622,313
427_29C-213A-5,427,213A,5,29C,1622,314
428_29C-213A-6,428,213A,6,29C,1622,315
432_3J-16A-3,432,16A,3,3J,1622,316
435_30A-218A-5,435,218A,5,30A,1622,317
436_30B-219A-4,436,219A,4,30B,1622,318
437_30B-219A-7,437,219A,7,30B,1622,319
438_30L-228A-4,438,228A,4,30L,1622,320
439_30L-228A-3,439,228A,3,30L,1622,321
440_31A-229A-3,440,229A,3,31A,1622,322
441_31F-232A-5,441,232A,5,31F,1622,323
442_31F-232A-6,442,232A,6,31F,1622,324
446_5 I-34A-4,446,34A,4,5I,1622,325
447_5B-29A-3,447,29A,3,5B,1622,326
449_5E-31A-5,449,31A,5,5E,1622,327
450_5E-31A-6,450,31A,6,5E,1622,328
451_5E-31A-7,451,31A,7,5E,1622,329
452_5I-34A-3,452,34A,3,5I,1622,330
453_6B-39A-6,453,39A,6,6B,1622,331
454_6B-39A-4,454,39A,4,6B,1622,332
456_6H-44A-4,456,44A,4,6H,1622,333
457_7A-48A-3,457,48A,3,7A,1622,334
459_9G-70A-4,459,70A,4,9G,1622,335
461_10-76B-7,461,76B,7,10,1613,336
462_10-76B-8,462,76B,8,10,1613,337
464_10-77B-5,464,77B,5,10,1613,338
465_10-77B-6,465,77B,6,10,1613,339
466_10-77B-4,466,77B,4,10,1613,340
467_10-79B-4,467,79B,4,10,1613,341
469_10-81B-7,469,81B,7,10,1613,342
470_10-81B-5,470,81B,5,10,1613,343
475_11-86B-7,475,86B,7,11,1613,344
476_11-86B-5,476,86B,5,11,1613,345
477_11-86B-4,477,86B,4,11,1613,346
478_13-102B-4,478,102B,4,13,1613,347
479_13-99B-4,479,99B,4,13,1613,348
480_13-99B-3,480,99B,3,13,1613,349
481_13-100B-3,481,100B,3,13,1613,350
482_13-101B-5,482,101B,5,13,1613,351
483_14-103B-4,483,103B,4,14,1613,352
485_14-103B-7,485,103B,7,14,1613,353
486_14-103B-5,486,103B,5,14,1613,354
487_15-108B-6,487,108B,6,15,1613,355
488_15-108B-7,488,108B,7,15,1613,356
489_15-108B-4,489,108B,4,15,1613,357
490_15-108B-3,490,108B,3,15,1613,358
492_15-108B-5,492,108B,5,15,1613,359
493_15-112B-5,493,112B,5,15,1613,360
494_15-112B-4,494,112B,4,15,1613,361
495_15-113B-3,495,113B,3,15,1613,362
496_15-113B-5,496,113B,5,15,1613,363
498_16-124B-4,498,124B,4,16,1613,364
499_16-119B-7,499,119B,7,16,1613,365
502_17-133B-3,502,133B,3,17,1613,366
