Susceptible_parent1,1,2,3
1,1,1,NA
2,1,13,2
3,NA,17,3
4,NA,11,1
5,2,18,2
6,4,11,2
7,1,7,2
8,NA,3,NA
9,1,7,NA
10,5,9,4
11,1,11,1
12,NA,1,NA
13,NA,15,NA
14,2,9,2
15,NA,1,31
16,10,1,1
17,2,13,1
18,28,1,NA
19,NA,17,1
20,NA,15,NA
21,7,4,2
22,NA,18,6
23,3,14,1
25,1,2,NA
26,3,22,6
28,3,7,1
29,NA,6,NA
30,1,17,1
31,NA,4,NA
32,NA,2,1
