P1,P2,P3,P4,P5,P6,P7,P8
1613-18x1622-18C,139A,Plant#2,,LXY_6,H08,1613-18x1622-18C-139A-Plant#2,1613-18x1622-18C-139A-Plant#2
1622-19C,,,,LXY_6,A09,1622-19C,1622-19C
1622-19A,,,,LXY_6,B09,1622-19A,1622-19A
1622-7J,,,,LXY_6,C09,1622-7J,1622-7J
1622-26J,,,,LXY_6,D09,1622-26J,1622-26J
1622-21L,,,,LXY_6,E09,1622-21L,1622-21L
1622-16C,,,,LXY_6,F09,1622-16C,1622-16C
1622-7K,,,,LXY_6,G09,1622-7K,1622-7K
1622-29L,,,,LXY_6,H09,1622-29L,1622-29L
1622-4E,,,,LXY_6,A10,1622-4E,1622-4E
1622-4F,,,,LXY_6,B10,1622-4F,1622-4F
1622-19E,,,,LXY_6,C10,1622-19E,1622-19E
1622-3B,,,,LXY_6,D10,1622-3B,1622-3B
1622-8E,,,,LXY_6,E10,1622-8E,1622-8E
1622-9F,,,,LXY_6,F10,1622-9F,1622-9F
1622-8H,,,,LXY_6,G10,1622-8H,1622-8H
1622-4G,,,,LXY_6,H10,1622-4G,1622-4G
1622-4D,,,,LXY_6,A11,1622-4D,1622-4D
1622-6I,,,,LXY_6,B11,1622-6I,1622-6I
1622-19F,,,,LXY_6,C11,1622-19F,1622-19F
1622-8F,,,,LXY_6,D11,1622-8F,1622-8F
1622-15C,,,,LXY_6,E11,1622-15C,1622-15C
1608-14,,,,LXY_6,F11,1608-14,1608-14
1622-21D,,,,LXY_6,G11,1622-21D,1622-21D
1622-30K,,,,LXY_6,H11,1622-30K,1622-30K
1622-22L,,,,LXY_6,A12,1622-22L,1622-22L
1622-29C,,,,LXY_6,B12,1622-29C,1622-29C
1622-29B,,,,LXY_6,C12,1622-29B,1622-29B
1622-21K,,,,LXY_6,D12,1622-21K,1622-21K
1622-17J,,,,LXY_6,E12,1622-17J,1622-17J
1622-18E,,,,LXY_6,F12,1622-18E,1622-18E
,,,,LXY_6,G12,,
,,,,LXY_6,H12,,
