general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA,fastp
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,130,4438467,4438467,36,0.17,51.25,0.1,40,101,2000000,0,15.28,0,81.56,0,0,0,0.01,0.12,3.03,4963848
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,131,4734951,4734951,35.6,0.61,53.88,0.61,40,101,2000000,0,11.72,0,85.09,0,0,0,0.01,0.11,3.07,5051964
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,133,4966859,4966859,34.9,0.05,51.67,0.02,40,101,2000000,0,13.86,0,83.13,0,0,0,0.03,0.23,2.75,4141101
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,134,5053928,5053928,34.9,0.12,54.59,0.06,40,101,2000000,0,11,0,86.4,0,0,0,0.2,0.05,2.35,3468605
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,135,4142624,4142624,35.9,0.09,51.95,0.04,40,101,2000000,0,13.27,0,83.77,0,0,0,0.24,0.05,2.67,4651156
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,138,4657382,4657382,35.9,0.19,52.33,0.12,40,101,2000000,0,11.15,0,86.3,0,0,0,0.15,0.04,2.36,6303586
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,138B,3469997,3469997,35.9,0.19,48.31,0.12,41,101,2000000,0,12.23,0,85.1,0,0,0,0.15,0.03,2.49,4881805
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,14,7437113,7437113,35.6,0.14,53.09,0.06,40,101,2000000,0,8.94,0,87.6,0,0,0,0.19,0.09,3.18,5968338
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,140,4883477,4883477,35.8,0.15,52.35,0.07,40,101,2000000,0,13.45,0,83.08,0,0,0,0.09,0.02,3.36,5069383
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,141,5970782,5970782,36,0.22,52.5,0.13,41,101,2000000,0,7.84,0,87.95,0,0,0,0.12,0.05,4.04,4786340
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,143,5071486,5071486,36,0.15,55.93,0.1,40,101,2000000,0,7.31,0,89.25,0,0,0,0.21,0.12,3.11,7410537
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,144,4788052,4788052,36,0.25,52.4,0.19,40,101,2000000,0,10.09,0,86.27,0,0,0,0.05,0.16,3.43,5279696
